Sample_ID,Treatment,Leaf_Area,Chlorophyll_a,Chlorophyll_b,SPAD,Photosynthesis_Rate,Yield,Total_Chlorophyll
1,Treatment_A,27.483570765056164,7.04165152430942,7.18654792056457,37.502669391060024,15.622437784701898,2251.3014967233785,14.384003399146343
2,Treatment_A,24.308678494144075,7.628682046672366,4.635918817807892,31.57136977433487,17.655790675599302,2331.945687940909,12.724422538381031
3,Treatment_A,28.23844269050346,5.787330051987944,8.10419146640415,30.71643000775555,19.51496183694137,2724.1880815369786,13.858893473855035
4,Treatment_A,32.61514928204013,5.607586751838658,3.8972234058115784,36.92988966097274,20.597265582510364,2683.1110796300395,9.625323674279919
5,Treatment_A,23.829233126383322,9.625051644788396,6.880285640700405,34.1061488586966,14.399110778832672,2493.7295218107556,16.712380483002132
6,Treatment_A,23.8293152152541,10.712480057141645,9.285683438714969,37.85600197636837,16.996496292477154,2535.198214992635,19.877797354290866
7,Treatment_A,32.896064077536955,7.855979756839332,4.514195512303967,36.89295049829418,16.575164066517132,2883.2994687365276,12.437403013686424
8,Treatment_A,28.837173645764544,10.007065795784047,5.150553405595842,34.70868434937251,16.040012302278864,2322.528583349251,15.161396921614427
9,Treatment_A,22.65262807032524,8.723272050095268,6.1494770476314615,31.61282512772638,23.29636272084329,2664.1292143510113,14.902051927291378
10,Treatment_A,27.712800217929825,6.709760490789751,5.244786518825701,28.940611101256543,19.214945132882868,2439.3422042698317,11.722644074458813
11,Treatment_A,22.682911535937688,8.722791211016828,3.6740048534008007,33.213940191731915,14.217348136994865,2434.6956390318337,12.404149116695312
12,Treatment_A,22.671351232148716,11.076073132931938,6.102844462209041,38.425595177293886,20.753585841164327,2829.633055596157,17.328317082514616
13,Treatment_A,26.20981135783017,7.928347921780097,4.406544429410843,35.85637497652082,24.3664685910379,2747.624904696409,12.770235433529454
14,Treatment_A,15.43359877671101,11.129287311628012,6.710388645952772,30.017044885152046,21.09739578165344,2744.0528908001916,18.127457205406348
15,Treatment_A,16.375410837434835,2.7605097918205113,4.620863648649295,35.69272370340473,13.44189010213796,2891.6436421462986,8.027328177723273
16,Treatment_A,22.188562353795135,9.643805008750448,8.324901607526309,36.54126951891535,16.547297781401245,2506.301152489828,17.73850234741034
17,Treatment_A,19.93584439832788,8.174094136476343,4.825120061495644,31.46457025519547,21.800733447559868,2704.585891388489,13.26091038898819
18,Treatment_A,26.571236662976368,7.401985299068265,5.516907725691486,35.61490042378211,15.876991603143658,2406.9199730219634,12.973895626481257
19,Treatment_A,20.459879622393945,8.183521553071005,7.220275826054505,35.232834873784,19.331458284438686,2597.2499057465325,16.06073825909081
20,Treatment_A,17.938481493323543,4.024862170798214,4.1537035253490675,30.428118808677507,20.32390216028801,2460.9570836896946,7.936076210540736
21,Treatment_B,32.32824384460777,7.560656224324976,6.341189901906194,36.43114944139313,15.21920858526575,2529.0987894978152,13.649929573576937
22,Treatment_B,23.871118497567323,8.714225143023492,7.960714131423642,37.24313810547294,17.8214239318146,2678.547107631074,16.49512148081393
23,Treatment_B,25.33764102343962,10.955788089483033,3.5887751481581587,39.332204972701106,8.276197979792782,2254.533795029958,13.90739452034825
24,Treatment_B,17.87625906893272,6.963459563452705,6.276950787798456,39.215208208139614,14.926837075997131,3127.716182705638,13.082683844746931
25,Treatment_B,22.278086377374088,6.3830127942136246,6.389824191372635,29.489322528171634,17.242295545820518,2198.1947855500894,12.54509718712015
26,Treatment_B,25.55461294854933,6.996485912830927,7.172734307665966,31.24869984033951,14.25665045410545,2135.74341616368,14.214338356439756
27,Treatment_B,19.245032112888488,9.830804235404148,4.144573933682877,37.06014106883464,22.897233911794906,2847.4332620500204,14.077904961820174
28,Treatment_B,26.87849009172836,8.657502219319369,4.019315080373586,37.05514380364883,13.7095758661181,2737.498808188881,13.23966855145772
29,Treatment_B,21.996806550405974,6.940479592465922,6.782912348425347,37.06019074522419,16.67986653990905,2687.2359451156467,14.008519092347083
30,Treatment_B,23.541531251033618,9.026534866226712,6.445477009849779,50.41092596261888,18.392221731858275,2688.503652779284,15.29894077937777
31,Treatment_B,21.991466938853016,8.194155098696081,6.375739275518815,37.283562042772665,22.323819867198345,2496.325968145926,14.30036997281039
32,Treatment_B,34.26139092254469,9.937289981065778,6.519672314245463,39.54226256072239,13.692413546461681,2230.8236885542506,16.604538046763196
33,Treatment_B,24.93251387631033,6.595893812245295,4.979962917632264,38.81600705397281,21.48949125646488,2522.741367458118,11.179786767771366
34,Treatment_B,19.711445355220498,7.3446757068044635,6.348380545741505,37.60556500522319,18.03069918305876,2296.8514865463667,14.242493882302275
35,Treatment_B,29.112724560515943,7.215783693735685,6.439608709948022,33.738923021438616,15.055474046856148,2792.535920025325,14.009224439900093
36,Treatment_B,18.895781750144888,5.072970103735763,4.928472872960448,38.03587688197307,19.386310422789812,2455.8827855493582,9.8606902810648
37,Treatment_B,26.044317975023777,8.592240554129152,8.798661766717135,31.908699141849713,18.59717908672041,2252.3508409622464,16.876961962119022
38,Treatment_B,15.201649380601122,8.522110544359778,6.710749381367681,34.052725573039965,16.199349368523617,2403.5842475041018,15.639021637977084
39,Treatment_B,18.359069755507846,8.010226913284923,4.2130447541960265,33.05854580868358,18.209406254970055,2623.8794362826875,12.188909713905163
40,Treatment_B,25.984306179345616,7.530825733249706,6.984830412950744,35.32749655754529,16.84405920941472,2330.8826341588074,14.887001039792489
41,Treatment_C,28.692332899977053,5.1692585158991715,4.5379774946590175,44.25863426669403,18.340552035753745,2253.3338813300707,9.228907712919879
42,Treatment_C,25.85684140594985,7.158709354469282,7.1806269056136784,27.530939229633006,19.98639202356314,2573.1061634475736,14.15952375319683
43,Treatment_C,24.421758588058797,7.314570966946461,7.737893368511106,37.74504076149805,22.758050448436055,2573.4899713326167,15.054037445373023
44,Treatment_C,23.494481522053555,6.395445461556762,4.7689765224724345,28.549136515241393,14.286553503519453,2347.917047388661,11.178516162158619
45,Treatment_C,17.607390048162863,7.677428576667982,7.445064193866482,33.11227253684227,24.3991001239688,2358.688508314503,14.987473129090692
46,Treatment_C,21.400778958026457,8.808101713629076,6.619171390404747,39.35580238786947,12.143736601432494,2569.614981207291,15.614128083738073
47,Treatment_C,22.696806145201062,11.77237180242106,7.233090239991735,35.25712007638185,17.54464471489325,2065.5746975508027,18.685175913598016
48,Treatment_C,30.285611131094576,8.349155625663679,8.845189473980922,30.689020888282776,19.76495161945373,2077.7608676870336,17.151631254138213
49,Treatment_C,26.71809144784231,8.515100781445529,5.631917825995695,32.138785162960126,18.842975603205097,2284.466733624269,14.183107296954793
50,Treatment_C,16.18479922318633,7.851108168467666,4.869395753463765,37.7183909957387,16.13190144053822,2435.965854486446,12.874835572149056
51,Treatment_C,26.620419846973974,4.1624575694019175,4.665728355561715,32.07853347313145,17.375633248928175,2593.2722696794012,9.0416703883903
52,Treatment_C,23.074588597918417,7.946972249101567,4.776284572551843,35.8658343583279,16.5209971960235,2942.6068650848656,12.385864194102048
53,Treatment_C,21.615389998470206,8.120460419882052,5.884347435878844,35.18228735961525,16.231905729167366,2757.297886960606,13.54457360454021
54,Treatment_C,28.05838144420434,12.926484224970572,6.511727962224966,32.393598609576735,20.548806291063073,2452.018441010972,19.82151523376509
55,Treatment_C,30.154997612479754,7.615278070437755,6.415036198995028,43.5757763573013,19.071046457895143,2494.2951376291935,14.13000847302666
56,Treatment_C,29.656400595580994,8.603094684667225,7.240774873554036,37.535676089272044,15.921271214218038,2199.2411906086572,15.619323597254295
57,Treatment_C,20.803912383886807,7.9305764605895135,6.0195028378168605,26.899429653369573,20.698799626299753,2494.446059202283,14.41542489106313
58,Treatment_C,23.453938120743928,5.6626439247609355,8.180301115735976,35.74581725907771,18.921898562629828,2413.4024083239583,13.87764743078477
59,Treatment_C,26.65631715701782,10.285645629030041,5.603014750143066,32.352854140926446,20.43858635651688,2596.815568101427,16.242449534392254
60,Treatment_C,29.877725635611796,9.503866065373549,10.080253749884427,38.409733339184896,19.888886525770836,2251.830716934303,19.60437535968101
